folder,file,sha256,feature_id,feature_type,feature_type_cn,status,status_cn,sign,template_slot,component,apex_time_min,start_time_min,end_time_min,width_min,fwhm_min,top_width_ratio,height,prominence,relative_prominence,snr,area,symmetry,bilateral_depth,bilateral_depth_relative,signed_depth_relative,baseline_change_ratio,width_ratio_to_template,rt_error_min,confidence,reasons
3-噪音谱图类型,B4-噪音122.CSV,ee8e35bc30f914afd186e53933be819bf9d813622df5e86937c3eb3fa043f1cf,8,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T5,,3.07,3.035,3.13,0.09351303201990621,0.06408990129643895,0.5813649112801144,1.5689342733698752,2.9361755672745242,0.022202942429878303,183.09473111694933,0.07297070595933342,0.43570813568048283,1.6389595281385256,0.01239357906718725,0.011864058040721825,0.11642865408228469,0.26884660901577223,0.06583333333333474,0.4535718941468526,rt_score=0.56;width_ratio=0.27;symmetry=0.44;snr=183.1;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B4-噪音122.CSV,ee8e35bc30f914afd186e53933be819bf9d813622df5e86937c3eb3fa043f1cf,14,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.13666666666667,4.03833333333333,4.19166666666667,0.15205190387191736,0.07024033862036477,0.5520594330607329,2.463933067242058,4.750593555444357,0.03592331344041189,42.414418357412195,0.12203764606098044,0.6686545131710254,3.8668085800865732,0.029240257036371724,0.018631911746963315,0.7376979140403505,0.352903868334127,0.11166666666666014,0.4488305696185967,rt_score=0.47;width_ratio=0.35;symmetry=0.67;snr=42.4;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B4-噪音122.CSV,ee8e35bc30f914afd186e53933be819bf9d813622df5e86937c3eb3fa043f1cf,16,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.43,4.38166666666667,4.46333333333333,0.08046230390823311,0.057121678421670874,0.47970262297431854,6.733783663964962,4.0822564041177625,0.03086944286807843,24.149652528954782,0.4409050955358011,0.5191306243867553,2.9686791515151487,0.022448729915375696,0.05091991524370936,0.10632024869693818,0.18674845616014676,0.1816666666666693,0.29179471679274527,rt_score=0.14;width_ratio=0.19;symmetry=0.52;snr=24.1;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B4-噪音122.CSV,ee8e35bc30f914afd186e53933be819bf9d813622df5e86937c3eb3fa043f1cf,46,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,8.76666666666667,8.54,9.49666666666667,0.9536627489644618,0.045656092371620105,0.2675143945520015,9.595793014081856,15.832085120432732,0.11971997805301361,162.1355132756267,2.0054713920201497,0.8994214208867383,11.19334748917747,0.08464250321738127,0.07256202327793834,0.23912567288149994,,,0.0,narrow_or_impulse_like_outside_template
3-噪音谱图类型,B4-噪音122.CSV,ee8e35bc30f914afd186e53933be819bf9d813622df5e86937c3eb3fa043f1cf,56,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,9.76666666666667,9.73333333333333,9.8,0.06495190741876013,0.035484776109967066,0.2880462123721058,3.5295924269680734,16.147900599649212,0.12210812983169515,199.34039606925654,0.03712160397000652,0.975191542403418,15.116872777056255,0.11431164393903331,0.026690276402528024,0.5307148952011047,,,0.0,narrow_or_impulse_like_outside_template
3-噪音谱图类型,B5-噪音大-通道1.CSV,8eab2b727a1c7e0dda1cd87fb615f9988fa3f11020d595ab3da8dc398644378b,3,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T2,,0.501666666666667,0.451666666666667,0.568333333333333,0.11545001983465622,0.09016601151153256,0.7552894432312182,48.49101632284718,24.19055812343681,0.20026535518792618,252.17239657142707,4.971872655199898,0.8602147996133813,21.69760194805191,0.1796270238446037,0.4014405355083574,0.07530385394079478,0.2899426298384591,0.01666666666666705,0.5423924948626987,rt_score=0.63;width_ratio=0.29;symmetry=0.86;snr=252.2;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B5-噪音大-通道1.CSV,8eab2b727a1c7e0dda1cd87fb615f9988fa3f11020d595ab3da8dc398644378b,10,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T4,,2.335,2.31166666666667,2.51333333333333,0.19927391970934077,0.15913009216361426,0.07265852856831208,0.12281410539657334,0.7024102416207091,0.005815014097980773,37.831785955503804,0.002067170155607292,0.08546566506678717,0.593818363636363,0.004916019089097971,0.0010167359642480971,0.5698315024001718,0.5391910356838302,0.11666666666667025,0.22529190928883472,rt_score=0.05;width_ratio=0.54;symmetry=0.09;snr=37.8;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B5-噪音大-通道1.CSV,8eab2b727a1c7e0dda1cd87fb615f9988fa3f11020d595ab3da8dc398644378b,18,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.20166666666667,4.07666666666667,4.29666666666667,0.21962695113435876,0.10025264434293994,0.18482578108233472,0.616243703740113,1.1891191899017568,0.009844310979155753,143.42081929547868,0.03860160511534553,0.2724808048005938,0.7078764588744582,0.005860267040648345,0.0051016708081766,0.431810653235975,0.509741730764743,0.04666666666666064,0.5343631355373948,rt_score=0.78;width_ratio=0.51;symmetry=0.27;snr=143.4;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B5-噪音大-通道1.CSV,8eab2b727a1c7e0dda1cd87fb615f9988fa3f11020d595ab3da8dc398644378b,19,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.265,4.23666666666667,4.27333333333333,0.03452353692742004,0.019309685917088634,0.2874204989756132,0.46696000425621487,0.15806456893122378,0.0013085624927756192,20.161556411027387,0.01432493893028792,0.30591114573859224,0.15188311688311718,0.0012573883659251996,0.003865802129646787,0.07384186969618718,0.08012717644446933,0.016666666666669272,0.5680492164696912,rt_score=0.92;width_ratio=0.08;symmetry=0.31;snr=20.2;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B6-噪音大-通道111.CSV,d52c7a525d02cd0b4084bcdae384de47a2b89ce745f41eaa7984b24c77543d39,3,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T2,,0.468333333333333,0.418333333333333,0.536666666666667,0.11720792252885485,0.08940869642205639,0.5796225840229833,47.45755120797361,18.734535281641758,0.16329079245210223,92.82276258377665,5.009162617861961,0.8399034314877728,16.93298238961036,0.14758840138866058,0.41364149300142833,0.06284327546533126,0.29435744874352315,0.016666666666666996,0.5390983973986171,rt_score=0.63;width_ratio=0.29;symmetry=0.84;snr=92.8;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B6-噪音大-通道111.CSV,d52c7a525d02cd0b4084bcdae384de47a2b89ce745f41eaa7984b24c77543d39,14,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.21666666666667,4.17666666666667,4.26333333333333,0.085354874044792,0.060032000176765916,0.6193760111781003,0.19910309735955173,0.33853958463962225,0.002950721553599438,169.74486462838124,0.009478057804617784,0.8983679159491177,0.17524599999999957,0.0015274495888938503,0.0017353887918088874,0.04875664802172519,0.19810383470734397,0.03166666666666007,0.6355419528370557,rt_score=0.85;width_ratio=0.20;symmetry=0.90;snr=169.7;narrow_flat_or_asymmetric_vs_reference
4-负峰类型,F3-CO2负峰2.CSV,43dcb7212e8e077215b562d8c43a9cb959a501d569af03dda720a62ff3a5ba37,12,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.19833333333333,4.105,4.22,0.11262814669231815,0.05761664596844216,0.21396006655772448,0.0038533398795541625,0.004581222901490991,0.0006026592676212358,129.14260974968298,0.00019189795505252685,0.25537498864003905,0.0,0.0,0.0005069063522213731,1.3898050310504284,0.26140355785682134,0.05000000000000071,0.4971385646028166,rt_score=0.76;width_ratio=0.26;symmetry=0.26;snr=129.1;narrow_flat_or_asymmetric_vs_reference
4-负峰类型,F4-CO2负峰3.CSV,e7b7604c8aa379289048aeedfccfe89b40a04b07f494dcbcba3fa8e221c80035,3,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,0.7,0.601666666666667,0.846666666666667,0.2446446429140435,0.12181856985274434,0.4151476705293876,6.721630884168457,6.829144026324953,0.868503091180721,779.3505075519244,0.8425903270910536,0.9277714767025746,4.701207792207785,0.5978807130258451,0.8548300018527575,0.014781606998642399,,,0.0,narrow_or_impulse_like_outside_template
